"Afghanistan","Kabul","countryCapital"
"Albania","Tirana","countryCapital"
"Algeria","Algiers","countryCapital"
"Andorra","Andorra la Vella","countryCapital"
"Angola","Luanda","countryCapital"
"Antigua and Barbuda","St. John's","countryCapital"
"Argentina","Buenos Aires","countryCapital"
"Armenia","Yerevan","countryCapital"
"Australia","Canberra","countryCapital"
"Austria","Vienna","countryCapital"
"Azerbaijan","Baku","countryCapital"
"Bahrain","Manama","countryCapital"
"Bangladesh","Dhaka","countryCapital"
"Barbados","Bridgetown","countryCapital"
"Belarus","Minsk","countryCapital"
"Belgium","Brussels","countryCapital"
"Belize","Belmopan","countryCapital"
"Benin","Porto-Novo","countryCapital"
"Bermuda","Hamilton","countryCapital"
"Bhutan","Thimphu","countryCapital"
"Bolivia","La Paz","countryCapital"
"Bosnia and Herzegovina","Sarajevo","countryCapital"
"Botswana","Gaborone","countryCapital"
"Brazil","Brasília","countryCapital"
"Brunei","Bandar Seri Begawan","countryCapital"
"Bulgaria","Sofia","countryCapital"
"Burkina Faso","Ouagadougou","countryCapital"
"Burundi","Bujumbura","countryCapital"
"Cambodia","Phnom Penh","countryCapital"
"Cameroon","Yaoundé","countryCapital"
"Canada","Ottawa","countryCapital"
"Cape Verde","Praia","countryCapital"
"Central African Republic","Bangui","countryCapital"
"Chad","N'Djamena","countryCapital"
"Chile","Santiago","countryCapital"
"China","Beijing","countryCapital"
"Colombia","Bogotá","countryCapital"
"Costa Rica","San José","countryCapital"
"Croatia","Zagreb","countryCapital"
"Cuba","Havana","countryCapital"
"Cyprus","Nicosia","countryCapital"
"Czech Republic","Prague","countryCapital"
"Côte d'Ivoire","Yamoussoukro","countryCapital"
"Democratic Republic of the Congo","Kinshasa","countryCapital"
"Denmark","Copenhagen","countryCapital"
"Dominican Republic","Santo Domingo","countryCapital"
"Ecuador","Quito","countryCapital"
"Egypt","Cairo","countryCapital"
"El Salvador","San Salvador","countryCapital"
"Equatorial Guinea","Malabo","countryCapital"
"Eritrea","Asmara","countryCapital"
"Estonia","Tallinn","countryCapital"
"Ethiopia","Addis Ababa","countryCapital"
"Federated States of Micronesia","Palikir","countryCapital"
"Finland","Helsinki","countryCapital"
"France","Paris","countryCapital"
"Gabon","Libreville","countryCapital"
"Gambia","Banjul","countryCapital"
"Georgia","Tbilisi","countryCapital"
"Germany","Berlin","countryCapital"
"Ghana","Accra","countryCapital"
"Gibraltar","Gibraltar","countryCapital"
"Greece","Athens","countryCapital"
"Greenland","Nuuk","countryCapital"
"Guatemala","Guatemala City","countryCapital"
"Guyana","Georgetown","countryCapital"
"Haiti","Port-au-Prince","countryCapital"
"Honduras","Tegucigalpa","countryCapital"
"Hungary","Budapest","countryCapital"
"Iceland","Reykjavík","countryCapital"
"India","New Delhi","countryCapital"
"Indonesia","Jakarta","countryCapital"
"Iran","Tehran","countryCapital"
"Iraq","Baghdad","countryCapital"
"Ireland","Dublin","countryCapital"
"Israel","Jerusalem","countryCapital"
